"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Review","Short note","Advanced note","Signed","Condition","Number of copies","Quotes","Flashcards","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Edition","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase Type","Purchase From","Purchase Price","Purchase Date","Transfer Type","Transfer place","Transfer Price","Transfer Date","Description","Date added"
"68489","9781473660205","My books","Own,To read",0,,,0,0,,,,,0,,1,"","","We Have No Idea: A Guide to the Unknown Universe","A Guide to the Unknown Universe","en","Popular Culture,Popular Science,Cosmology & The Universe","Jorge Cham,Daniel Whiteson","","","","","","John Murray Press",368,"2018-05-17","paperback",,,,,,,,,,,,,,,,"BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering.","2025-08-19"
"653574","9780708850077","My books","Own,To read",0,,,0,0,,,,,0,,1,"","","Unnatural Selections (The Far Side Series) (Spanish Edition)","A Far Side Collection",,"Graphic Novels, Anime & Manga,Humour","Gary Larson","Larson, Gary","","","","","Little, Brown Book Group",108,"1992-01-01","paperback",,"Far Side Collection",12,,,,,,,,,,,,,"Hot on the paws of the howling success of Wiener Dog Art comes the new Far Side masterpiece Unnatural Selections. Including more than 100 cartoons in their book debut, it also unearths an original ...","2025-08-17"
"2712730","9780007959563","My books","Own",0,,,0,0,,,,,0,,1,"","","TIMES COMPLETE HISTORY OF THE",,"en","","Richard Overy","","","","","","Times Books",,,"hardcover",,,,,,,,,,,,,,,,"The ultimate work of historical reference from cave men to the Cold War, from Alexander the Great to global warming, from warfare through the ages to the great voyages of exploration, The Times Com...","2025-08-19"
"84797","9780393355628","My books","Own,To read",0,,,0,0,,,,,0,,1,"","","Surely You're Joking, Mr. Feynman!","Adventures of a Curious Character","en","Biography & Memoir,Science & Technology,Science","Richard P Feynman","","","Ralph Leighton","","","WW Norton",352,"2018-02-06","paperback",,,,,,,,,,,,,,,,"One of the most famous science books of our time, the phenomenal national bestseller that ""buzzes with energy, anecdote and life. It almost makes you want to become a physicist"" (Science Digest).
R...","2025-08-19"
"54627","9780345384379","My books","",0,,,0,0,,,,,0,,1,"","","Sole Survivor",,"en","Gothic & Horror,Thrillers,Suspense & Thriller","Dean Koontz","","","","","","Ballantine Books",416,"1997-10-29","paperback",,,,,,,,,,,,,,,,"A catastrophic, unexplainable plane crash leaves three hundred and thirty dead -- no survivors. Among the victims are the wife and two daughters of Joe Carpenter, a Los Angeles Post crime reporter....","2025-08-17"
"2060564","9780760701782","My books","Own,To read",0,,,0,0,,,,,0,,1,"","","The Sentinel",,"en","Science Fiction,Fantasy,Short Stories","Arthur C. Clarke","","","","","","Barnes & Noble Books",205,"1996-01-01","hardcover",,"The Collected Stories of Arthur C. Clarke",2,,,,,,,,,,,,,"This version of The Sentinel is subtitled the 2001 Anniversary Edition. One might ask, what anniversary? Rather more accurately, this is an edition for the intersection of the calendar with SF hist...","2025-08-17"
"42871","9780553293364","My books","",0,,,0,0,,,,,0,,1,"","","Second Foundation",,"en","Space Opera,Hard Science Fiction,Classics","Isaac Asimov","","","","","","Spectra",272,"1991-10-01","paperback",,"Foundation",3,,,,,,,,,,,,,"The third novel in Isaac Asimov’s classic science-fiction masterpiece, the Foundation series

The Foundation lies in ruins—destroyed by a mutant mind bent on humanity’s annihilation. But it’s rumor...","2025-08-17"
"19093202","9780553094411","My books","",0,,,0,0,,,,,0,,1,"","","The Scorpio Illusion",,"en","Espionage","Robert Ludlum","","","","","","Bantam",534,"1993-05-01","hardcover",,,,,,,,,,,,,,,,">  His name defines the international thriller. Now Robert Ludlum has crafted his most suspenseful, most surprising novel since The Bourne Identity – a multileveled, deftly plotted story of a brill...","2025-08-17"
"95623","9780345545893","My books","",0,,,0,0,,,,,0,,1,"","","Saint Odd","An Odd Thomas Novel","en","Suspense & Thriller,Suspense,Sci-Fi & Fantasy","Dean Koontz","","","","","","Bantam",480,"2015-11-03","paperback",,"Odd Thomas",8,,,,,,,,,,,,,"NEW YORK TIMES BESTSELLER • NAMED ONE OF THE BEST BOOKS OF THE YEAR BY SUSPENSE MAGAZINE •Includes Dean Koontz’s short story “You Are Destined to Be Together Forever”—its first time in print!

From...","2025-08-17"
"12533","9780385539432","My books","Own,To read",0,,,0,0,,,,,0,,1,"","","Rogue Lawyer","A Novel","en","Suspense & Thriller,Suspense,Legal","John Grisham","","","","","","Doubleday",352,"2015-10-20","hardcover",,,,,,,,,,,,,,,,"On the right side of the law. Sort of.

Sebastian Rudd is not your typical street lawyer. He works out of a customized bulletproof van, complete with Wi-Fi, a bar, a small fridge, fine leather chai...","2025-08-17"
